frequency[Hz],flange_omega_z[rad/s],flange_alpha_z[rad/s2],cycloid_acc_xy[m/s2]
1.597613112593250889e+03,7.135162976701604111e-08,3.489085495065849161e-04,4.986714864072903236e-03
1.598789558184261978e+03,7.424849076627394902e-08,5.071447002726076504e-04,3.444218327317346597e-03
1.599966003775273293e+03,4.420594391659682898e-08,7.053752461153344399e-04,4.895788754085775470e-03
1.601142449366284609e+03,5.770742435883528218e-08,6.370499209534362254e-04,5.256882165951766266e-03
1.602318894957295697e+03,7.364060298913139596e-08,3.889760374492946121e-04,8.975791279748891044e-03
1.603495340548307013e+03,4.208112262596490904e-08,1.617232663593770289e-04,6.433623970592803470e-03
1.604671786139318101e+03,7.583751074941833247e-08,4.253655243399892105e-04,2.654264708389881405e-03
1.605848231730329417e+03,4.428333505396714695e-08,4.003062401640708262e-04,6.751822197654980262e-03
1.607024677321340732e+03,1.068781780425489065e-08,3.233853210788777675e-04,4.776629365569784631e-03
1.608201122912351821e+03,6.730714803538873476e-08,4.341032968343442960e-04,8.010730903974366476e-03
1.609377568503363136e+03,6.327130469946662808e-08,4.293598703333821663e-04,5.368882907509927617e-03
1.610554014094374452e+03,6.509251418471494629e-08,4.798917156149084531e-04,8.924056961743472710e-03
1.611730459685385540e+03,3.086619823821525484e-08,2.631406680455402507e-04,4.615020730512025930e-03
1.612906905276396856e+03,4.074456286172864255e-08,2.968885259447901414e-04,7.251965258901042939e-03
1.614083350867408171e+03,1.221426438800941413e-08,1.750881317373079399e-04,3.511133218199518832e-03
1.615259796458419260e+03,3.766317795416284017e-08,2.078507763426271039e-04,6.018237829947582947e-03
1.616436242049430575e+03,4.617313353614190371e-08,4.212991628102769580e-04,9.386947989898050335e-03
1.617612687640441663e+03,1.845682716137796008e-08,3.245277460421832900e-04,8.685767768700444064e-03
1.618789133231452979e+03,1.425956733924201340e-08,3.322436769195775985e-04,5.688634647081598945e-03
1.619965578822464295e+03,4.601170744787688104e-08,4.898579805594415956e-04,6.156674454309301985e-03
1.621142024413475383e+03,5.459173176287456638e-08,2.608547174158889364e-04,1.329422728136920792e-02
1.622318470004486699e+03,1.229883618458569828e-08,2.168041500276020968e-04,1.025307875919936364e-02
1.623494915595497787e+03,3.295578242264312716e-08,3.368494771063247845e-04,2.872155229978587323e-03
1.624671361186509102e+03,2.997055942175561708e-08,1.899642721852526752e-04,6.473432497866371711e-03
1.625847806777520418e+03,1.113639006400836060e-08,4.970630474220548434e-05,9.485866814314127329e-03
1.627024252368531506e+03,3.251270363758856886e-08,2.370455863372724812e-04,5.248292725396148418e-03
1.628200697959542822e+03,3.998826944403859651e-08,5.797380472995491496e-04,9.799494746068740381e-03
1.629377143550554138e+03,5.644539612399645239e-08,7.400142678615053218e-04,9.965348892506067924e-03
1.630553589141565226e+03,8.390580685280308930e-08,6.848854809854770190e-04,6.462731986015421426e-03
1.631730034732576542e+03,7.172960321091669329e-08,4.913966246428330730e-04,8.891844437087065636e-03
1.632906480323587857e+03,1.257250578152847702e-08,1.442169432886321171e-04,5.443365286980714722e-03
1.634082925914598945e+03,4.942368534983068391e-08,2.593392394002256413e-04,3.818101406885143160e-03
1.635259371505610261e+03,3.537165655144731748e-08,3.193134445204580917e-04,8.249631633895030541e-03
1.636435817096621349e+03,2.260466772670789301e-08,2.490452166378370486e-04,8.169720302092342568e-03
1.637612262687632665e+03,3.871009100059325370e-08,5.842168965282877298e-04,2.389854616896907973e-03
1.638788708278643981e+03,1.015294271574204736e-07,6.352399247009408263e-04,8.979384980330797419e-03
1.639965153869655069e+03,4.814524473761583544e-08,3.154215166256587309e-04,5.735150530660176882e-03
1.641141599460666384e+03,3.976183498774952062e-08,1.785434476179808768e-04,3.460145219683812782e-03
1.642318045051677473e+03,4.493454467033683056e-08,1.745316522435623149e-04,7.211023566360969840e-03
1.643494490642688788e+03,6.112167352719808546e-08,3.184519563462561787e-04,9.189637074030237301e-03
1.644670936233700104e+03,4.077844993890416279e-08,3.641386254234816829e-04,3.964463690264783367e-03
1.645847381824711192e+03,1.219045260923834581e-08,4.795710863695284792e-04,9.485906355509087992e-03
1.647023827415722508e+03,3.102744343883755538e-08,2.281709165844140054e-04,6.931658350240287991e-04
1.648200273006733823e+03,6.014379324462285307e-08,3.019601786932307741e-04,1.594555403984293865e-02
1.649376718597744912e+03,5.055840467382325090e-08,4.505413357376571800e-04,6.040093043898973717e-03
1.650553164188756227e+03,1.505743568433249644e-08,3.505219967547641897e-04,4.504615890556462783e-03
1.651729609779767543e+03,2.160951039821571753e-08,9.196053036512149734e-05,2.646750466528141003e-03
1.652906055370778631e+03,1.105027324618370954e-08,1.444485046850707902e-04,9.692783390213847300e-03
1.654082500961789947e+03,1.956888796322901144e-08,1.782819801333107720e-04,8.726880061164591848e-03
1.655258946552801035e+03,2.759948476709102981e-08,8.160454381937015092e-05,6.778873919944090019e-03
1.656435392143812351e+03,4.550510498822917345e-08,2.426511240667950098e-04,4.024287727556127847e-03
1.657611837734823666e+03,2.973075760367999634e-08,2.058795219449719555e-04,2.873261362948880369e-03
1.658788283325834755e+03,3.326018988216081184e-08,2.196315311035083927e-04,8.541543596246642736e-03
1.659964728916846070e+03,5.977893368705856329e-08,5.937665729994453297e-04,9.598388611126208031e-03
1.661141174507857158e+03,5.639822130845953567e-08,7.265000654820601362e-04,2.083468372165845836e-02
1.662317620098868474e+03,4.280833079202322088e-08,7.457495610535052818e-04,2.607956903896672257e-02
1.663494065689879790e+03,2.710274595997531063e-08,4.926720981336708827e-04,1.808001239514732406e-02
1.664670511280890878e+03,2.088763712450492782e-08,4.051136357196148305e-04,1.019855542195084383e-02
1.665846956871902194e+03,3.700838264305788999e-08,3.290920761978077336e-04,5.624925088412814633e-03
1.667023402462913509e+03,1.296568754522304082e-08,2.532391677149025051e-04,1.042690922392326865e-02
1.668199848053924597e+03,5.270716495045280086e-08,4.049825804480394796e-04,1.317936640095644998e-02
1.669376293644935913e+03,6.160811324567587567e-08,4.880115369425207738e-04,9.217173495539434519e-03
1.670552739235947229e+03,4.406353667684416360e-08,5.171795549700820317e-04,3.181279048366036401e-03
1.671729184826958317e+03,4.456523061300496643e-08,6.248070545601143574e-04,5.727000131659353011e-03
1.672905630417969633e+03,3.205532464303488440e-08,3.090687912990242058e-04,1.066981161650241636e-02
1.674082076008980721e+03,4.285167129724711805e-08,4.408696790414339049e-04,6.572377167756863862e-03
1.675258521599992036e+03,1.098673896843074182e-07,1.047599613971786792e-03,1.218008850558232811e-03
1.676434967191003352e+03,1.002985533575544547e-07,1.023306433236689230e-03,6.427956740036275610e-03
1.677611412782014440e+03,6.681236316963979770e-08,7.503730712166582556e-04,7.077956002431010085e-03
1.678787858373025756e+03,8.095154301360510187e-08,1.008819827394936844e-03,4.561785996864462997e-03
1.679964303964036844e+03,9.639626983639817873e-08,1.042359682734996440e-03,5.068553350170853199e-03
1.681140749555048160e+03,1.004773508031199198e-07,1.127850829697704107e-03,1.121254233449344752e-02
1.682317195146059476e+03,1.067543092449076654e-07,1.135423696585382896e-03,1.372543144751623215e-02
1.683493640737070564e+03,1.113999578548152423e-07,8.622777517986171189e-04,1.354844752713573082e-02
1.684670086328081879e+03,7.921996491047376195e-08,7.711866196638775955e-04,7.916579846029734094e-03
1.685846531919093195e+03,4.863886322365782448e-09,3.980590454241909708e-04,6.775389462230691807e-03
1.687022977510104283e+03,8.427210344759422051e-09,5.045363711215511155e-04,1.662989656745229514e-02
1.688199423101115599e+03,7.139940180060359237e-08,6.802050921725269050e-04,1.253172269280018736e-02
1.689375868692126915e+03,7.978545687886948379e-08,3.652679382646193849e-04,6.117347604485848939e-03
1.690552314283138003e+03,5.325509445808857958e-08,1.193946245097817540e-04,6.168568736378349064e-03
1.691728759874149318e+03,4.447940387168103381e-08,1.768174919190884826e-04,4.786751304900705058e-03
1.692905205465160407e+03,3.211323647969854134e-08,2.103781575374024998e-04,2.545124834447245847e-03
1.694081651056171722e+03,1.006759361798452519e-08,3.080735316842120818e-04,7.648855920768696942e-03
1.695258096647183038e+03,4.333156896073247777e-08,2.144065811183377696e-04,7.278037475650997977e-03
1.696434542238194126e+03,3.079210290942977635e-08,1.598452119185649024e-04,8.579096925536395385e-03
1.697610987829205442e+03,1.222466547923236797e-08,1.411127750978425580e-04,1.653374218728391118e-02
1.698787433420216530e+03,2.099607539661774690e-08,2.234312299513604798e-04,3.133237313253362660e-02
1.699963879011227846e+03,4.395248339269729949e-09,2.460418708826848802e-04,3.185378554357926051e-02
1.701140324602239161e+03,1.557689865644084787e-08,2.080944510735183032e-04,2.228005892240983096e-02
1.702316770193250250e+03,2.896012391202932770e-08,4.986211106088244902e-04,1.798622375809820831e-02
1.703493215784261565e+03,4.339732068315792386e-08,3.634313202310889847e-04,5.935663915348176473e-03
1.704669661375272881e+03,4.333809653027453912e-08,3.425652554038403539e-04,6.981461632796552574e-03
1.705846106966283969e+03,5.356771691910875663e-08,6.760975852081983761e-04,1.343387107497383270e-02
1.707022552557295285e+03,6.398178379824247680e-08,8.314102649497507073e-04,9.259531832538477059e-03
1.708198998148306600e+03,5.753212124311329627e-08,5.606530592021722855e-04,1.591844769314625053e-03
1.709375443739317689e+03,5.568461360433009322e-08,4.944730991008806529e-04,2.262067672985848890e-03
1.710551889330329004e+03,4.285618684341366461e-08,5.524272751317197902e-04,2.169635789718737506e-03
1.711728334921340092e+03,2.457197530827207115e-08,3.569729156757857889e-04,6.206195233245028614e-03
1.712904780512351408e+03,5.667909632579196474e-08,2.631171658132549942e-04,6.503115039159658439e-03
1.714081226103362724e+03,3.860777409680478639e-08,5.929475968805334157e-04,8.460572984934881455e-03
1.715257671694373812e+03,8.333973320969697030e-08,8.908636143282460274e-04,2.238517988288109967e-02
1.716434117285385128e+03,1.238417297052198336e-07,1.284876255687322994e-03,2.765784028379566703e-02
1.717610562876396216e+03,1.049531798107383541e-07,1.421211072211497981e-03,2.677035285017912922e-02
1.718787008467407531e+03,1.009268997695026504e-07,9.849190047459463731e-04,2.344460409888675032e-02
1.719963454058418847e+03,6.260351534526754038e-08,3.417127741350325910e-04,1.441387499876428842e-02
1.721139899649429935e+03,4.974932799234571033e-08,3.319941664829006056e-04,1.285572246465908376e-02
1.722316345240441251e+03,2.413220262975677932e-08,5.657118159821891441e-04,2.076967619911721224e-03
1.723492790831452567e+03,2.706507316026867685e-08,2.595987544410355879e-05,9.749978678313077005e-03
1.724669236422463655e+03,1.885060380479356190e-08,3.641428376098019095e-04,1.127268552371791903e-02
1.725845682013474971e+03,2.836838145773957130e-08,5.085744121271338790e-04,8.782386935799137498e-03
1.727022127604486286e+03,4.515760870985929719e-08,3.137388551506749192e-04,7.567657937480426825e-03
1.728198573195497374e+03,2.761611758456205198e-08,8.910530457943085798e-05,6.009737015894692051e-03
1.729375018786508690e+03,2.793555941706155766e-08,2.704645622961008937e-04,3.798784852717942626e-03
1.730551464377519778e+03,3.971463363181376103e-08,3.888587880534782773e-04,1.377989139230098060e-02
1.731727909968531094e+03,4.543576762540841031e-08,4.820213499168791212e-04,2.063832451015758240e-02
1.732904355559542410e+03,5.018498292193519391e-08,5.051247885889481809e-04,1.772379303100000275e-02
1.734080801150553498e+03,5.299073256213483995e-08,4.641797538277581928e-04,2.315980425062676498e-02
1.735257246741564813e+03,4.350597507645295682e-08,3.597710915989202297e-04,4.119320034636781563e-02
1.736433692332575902e+03,4.096640969378443014e-08,3.991679044225949439e-04,5.180861437484863413e-02
1.737610137923587217e+03,4.767217169830241540e-08,5.381544117222599073e-04,2.713280624776323591e-02
1.738786583514598533e+03,5.158980403274973262e-08,5.179868304769612991e-04,1.056927003770483792e-02
1.739963029105609621e+03,2.988147093170556248e-08,1.873540740051255231e-04,9.215252602450004979e-03
1.741139474696620937e+03,1.359775630323240724e-08,8.778892600846903535e-05,8.702684668314161417e-03
1.742315920287632252e+03,1.787414313557122743e-08,3.876001904017965858e-04,8.186763220082757253e-03
1.743492365878643341e+03,3.733290112621888655e-08,6.351597050207698951e-04,1.182445851427955073e-02
1.744668811469654656e+03,6.756962473696460387e-08,8.284973158445642404e-04,1.663417316676359115e-02
1.745845257060665972e+03,6.961077144985119471e-08,6.639810932249546769e-04,1.210571648217784353e-02
1.747021702651677060e+03,6.218732729143105045e-08,5.898244097198712807e-04,1.984826491171436287e-03
1.748198148242688376e+03,1.169164426111236585e-07,1.120286810635540749e-03,4.744565598150618513e-03
1.749374593833699464e+03,9.361450376217949466e-08,1.011556270075742846e-03,9.721526383811152430e-03
1.750551039424710780e+03,2.758388520716026448e-08,2.705077276301299399e-04,6.131251552564795891e-03
1.751727485015722095e+03,1.125079678122399606e-07,1.158970466928490933e-03,1.754707978105355878e-02
1.752903930606733184e+03,3.025781701313180383e-07,3.764876429220740013e-03,4.622985541864172571e-02
1.754080376197744499e+03,4.630601055695408533e-07,5.268056777895324672e-03,4.595003921976693190e-02
1.755256821788755587e+03,3.735625006514340153e-07,3.861961952845719987e-03,2.954471573148555533e-02
1.756433267379766903e+03,1.927114789667086155e-07,2.501414636395165279e-03,1.746463778401766836e-02
1.757609712970778219e+03,1.754367396205403778e-07,1.996654325483990505e-03,1.610816395288997005e-02
1.758786158561789307e+03,1.235600342352033348e-07,1.148667079544197969e-03,9.908100289077416065e-03
1.759962604152800623e+03,1.051736609924297361e-07,9.483082978876402561e-04,5.743903518336381485e-03
1.761139049743811938e+03,1.047897873075337036e-07,1.146452737822231324e-03,7.321391633474675503e-03
1.762315495334823026e+03,7.621187088698443349e-08,1.004242764154631741e-03,9.287467833261404309e-04
1.763491940925834342e+03,6.771587213282540159e-08,9.225591705979901492e-04,4.863359160653774396e-03
1.764668386516845658e+03,5.115855481111492390e-08,7.782898420277486757e-04,4.138813529396149181e-03
1.765844832107856746e+03,1.509669750415007165e-08,3.960274995331320574e-04,8.392523047958691529e-03
1.767021277698868062e+03,2.062486741530201926e-08,1.583613722564586063e-04,9.364364152239953304e-03
1.768197723289879150e+03,4.419591202907439854e-08,1.816381575049444148e-04,1.295094044285965799e-02
1.769374168880890466e+03,5.850908862992268605e-08,1.963640329346534098e-04,1.871125346976049500e-02
1.770550614471901781e+03,8.695951397567934455e-08,7.395901287157739725e-04,2.548454008539288718e-02
1.771727060062912869e+03,7.199743936864660284e-08,1.070249111801835481e-03,2.855160510743174826e-02
1.772903505653924185e+03,5.243737262011417174e-08,9.311092917170672289e-04,1.972637702777261734e-02
1.774079951244935273e+03,7.291232782596102377e-08,1.077353574794032544e-03,3.322791276511970898e-02
1.775256396835946589e+03,7.699808233838679576e-08,9.415387912635165245e-04,1.371629269744095714e-02
1.776432842426957905e+03,7.260616857176920508e-08,7.768416262011665612e-04,3.389902739730237327e-03
1.777609288017968993e+03,4.804993769396492842e-08,4.694680706183412648e-04,2.186465573490938182e-03
1.778785733608980308e+03,5.242119768668780704e-08,4.826005498286244913e-04,3.707072832228584282e-03
1.779962179199991624e+03,5.334853569533823773e-08,5.468769555916750845e-04,5.555857848193276882e-03
1.781138624791002712e+03,1.368082777774362855e-08,2.510855476522168826e-04,3.966178178648147382e-03
1.782315070382014028e+03,7.610516076317552438e-08,6.230002860834569101e-04,6.541205983905712569e-03
1.783491515973025344e+03,8.668283414711162620e-08,8.911742378000324892e-04,1.382550437183547275e-02
1.784667961564036432e+03,5.026128772803221453e-08,7.801562586918373227e-04,1.425276170632556842e-02
1.785844407155047747e+03,2.079265299031778297e-08,5.131684032886709487e-04,6.942082526038157071e-03
1.787020852746058836e+03,4.089102611102782839e-08,4.816772855266286159e-04,6.277426547431873283e-03
1.788197298337070151e+03,1.379137821037871621e-07,1.321439021939436152e-03,2.103465736346252918e-02
1.789373743928081467e+03,4.037384343480271748e-07,4.387152343354394461e-03,3.918979205293550427e-02
1.790550189519092555e+03,4.418737966697432120e-07,5.438596450231019536e-03,1.853904494552847254e-02
1.791726635110103871e+03,3.103318174347446104e-07,3.351135853568729898e-03,2.518074256663162605e-02
1.792903080701114959e+03,1.024949026548068344e-07,1.314084323008696481e-03,4.462458122032713498e-02
1.794079526292126275e+03,7.323069259051857164e-08,7.639829079929002327e-04,3.328322128730254459e-02
1.795255971883137590e+03,8.189590421189307727e-09,2.205861447900937518e-04,2.141311305037792503e-02
1.796432417474148679e+03,4.371482673075976395e-08,4.756586691711107810e-04,6.472163903474714708e-03
1.797608863065159994e+03,6.747459792242060765e-08,5.705848293384571321e-04,3.411732672018598107e-03
1.798785308656171310e+03,6.178277352946965631e-08,4.608054539738437637e-04,5.802315010962618563e-03
1.799961754247182398e+03,4.521419628726390519e-08,3.101662550227369348e-04,8.257791939363217856e-03
1.801138199838193714e+03,3.200178470393437555e-08,1.495188890024096791e-04,1.223357087292787845e-02
1.802314645429205029e+03,4.721316750572270623e-08,3.316756046691931052e-04,8.437590396681874869e-03
1.803491091020216118e+03,4.494224215261758654e-08,3.241400724839870709e-04,1.366101465232368896e-02
1.804667536611227433e+03,4.616895876071010026e-08,3.904254839025531900e-04,1.865893662366645972e-02
1.805843982202238521e+03,2.965262697347282841e-08,3.712851490364415066e-04,1.111252441764196131e-02
1.807020427793249837e+03,3.430526366384629933e-08,5.208883171125526382e-04,1.295903389480281172e-02
1.808196873384261153e+03,4.627594537764166809e-08,7.381171452307903327e-04,2.397072420937461368e-02
1.809373318975272241e+03,5.882370038685777591e-08,7.126045362738758207e-04,2.222496316461951976e-02
1.810549764566283557e+03,4.209150201110929773e-08,3.761566728932767920e-04,1.505765831867082911e-02
1.811726210157294645e+03,7.829478844346016800e-08,6.588222346832522036e-04,1.696223567442712785e-02
1.812902655748305961e+03,7.309804266769683274e-08,5.228453879201371739e-04,1.948672392674797790e-02
1.814079101339317276e+03,3.056938038652424460e-08,1.355104087993328269e-04,1.795668730369090124e-02
1.815255546930328364e+03,7.189541812618974142e-08,6.180976146124253674e-04,6.845214105131986089e-03
1.816431992521339680e+03,8.105826364008289107e-08,8.686155563267683889e-04,1.151166004543944382e-02
1.817608438112350996e+03,5.395228053052729643e-08,7.546672415590127995e-04,1.383496458133163728e-02
1.818784883703362084e+03,5.501058467287641719e-08,7.327648550790838260e-04,6.124606481150128741e-03
1.819961329294373400e+03,4.743251170590223491e-08,4.914513787678619723e-04,4.890232838020669784e-03
1.821137774885384715e+03,4.017036456082204162e-08,5.162646355015431017e-04,6.997514799700935498e-03
1.822314220476395803e+03,8.858668300148312751e-08,1.081012333608919471e-03,1.288563050318720579e-02
1.823490666067407119e+03,8.671400566533336506e-08,7.943237717590624636e-04,7.333918036005124264e-03
1.824667111658418207e+03,7.431394547395015064e-08,5.417769075168504030e-04,1.335748929396633408e-02
1.825843557249429523e+03,1.557778993602492382e-07,1.593692403092837172e-03,3.535027882040646385e-02
1.827020002840440839e+03,4.550942941979843095e-07,5.192881241675546648e-03,6.362122037731132718e-02
1.828196448431451927e+03,4.476253790473744053e-07,5.522498386045090676e-03,5.569797439474703099e-02
1.829372894022463242e+03,3.502292847894057789e-07,4.008003331423709223e-03,3.398365196636955049e-02
1.830549339613474331e+03,2.056881710464703122e-07,2.582258243276360030e-03,2.050713694703515388e-02
1.831725785204485646e+03,1.668804406036854942e-07,2.016566574942007216e-03,1.429997115544933382e-02
1.832902230795496962e+03,1.084989074579272312e-07,1.275504365524105128e-03,6.047124863662276320e-03
1.834078676386508050e+03,7.345878032116516032e-08,8.267086365036560970e-04,5.310683962251724552e-03
1.835255121977519366e+03,6.082279120789694213e-08,5.658302764961652869e-04,3.576951199245164727e-03
1.836431567568530681e+03,6.576569536250770812e-08,4.968308671365730209e-04,5.942442909695243650e-03
1.837608013159541770e+03,8.006145151247254827e-08,5.688385959048251634e-04,3.443634847644819891e-03
1.838784458750553085e+03,4.587733231205208059e-08,4.626181019412145112e-04,5.856487653839231519e-03
1.839960904341564401e+03,1.828816650495935129e-08,2.090931566456621926e-04,5.865183108550836230e-03
1.841137349932575489e+03,1.371580159186081722e-08,3.039343190188188563e-04,6.293839111967479416e-03
1.842313795523586805e+03,3.662718979579071474e-08,2.855758229294926595e-04,1.498088202996386911e-02
1.843490241114597893e+03,4.718666805149001219e-08,3.659988729252277900e-04,1.499466661325730803e-02
1.844666686705609209e+03,3.265964003584349653e-08,2.614245343760917260e-04,1.804607011742613565e-02
1.845843132296620524e+03,3.838575854304646703e-08,4.402570258177343401e-04,1.720359907086377663e-02
1.847019577887631613e+03,1.269566479466734760e-08,2.076753080131776461e-04,6.796621013674658714e-03
1.848196023478642928e+03,1.064927892809652573e-08,1.307175897844977449e-04,1.518107795398385661e-02
1.849372469069654016e+03,6.059713809264997675e-09,5.401161922597880362e-05,8.449685715109109263e-03
1.850548914660665332e+03,3.742973114536968230e-08,2.085807004665359964e-04,4.851559362739344718e-03
1.851725360251676648e+03,6.425511740222537692e-08,5.611459857016949443e-04,2.876157756765301311e-03
1.852901805842687736e+03,2.909636837210756529e-08,5.721108587253241617e-04,8.414454752015968625e-03
1.854078251433699052e+03,9.663313350401748422e-09,2.885842687237530888e-04,4.690717676425268726e-03
1.855254697024710367e+03,1.708505427256367265e-08,2.561403916250361897e-04,2.558392330858273982e-03
1.856431142615721456e+03,2.143361952091761895e-08,3.306401862017724580e-05,3.628210440506676477e-03
1.857607588206732771e+03,8.656839003248944746e-09,1.407807505631109208e-04,1.727527827294845011e-03
1.858784033797744087e+03,1.525839848672721840e-08,2.039668413744507745e-04,4.384670742215122062e-03
1.859960479388755175e+03,4.943024045559113342e-08,6.389233365011149583e-04,6.677841305429049572e-03
1.861136924979766491e+03,5.927405230015447139e-08,5.194117970118211289e-04,6.450541666346445643e-03
1.862313370570777579e+03,8.482913676647101014e-08,7.828162927784285434e-04,5.759214394560230321e-03
1.863489816161788895e+03,1.411915581665470287e-07,1.886576788987063668e-03,2.360728523307014173e-02
1.864666261752800210e+03,2.270533309377413558e-07,2.764354651506943563e-03,4.611315382242255068e-02
1.865842707343811298e+03,2.383972938330788384e-07,2.828968657933967137e-03,4.742217813054483422e-02
1.867019152934822614e+03,1.337936098655760317e-07,1.722312784723826432e-03,2.587309816343871458e-02
1.868195598525833702e+03,7.818069360156004809e-08,6.955924508102458810e-04,1.220081353050728873e-02
1.869372044116845018e+03,3.142065094203958534e-08,2.748032936521337555e-04,2.430715312285215875e-03
1.870548489707856334e+03,1.038136540155375898e-08,2.423289171840697562e-04,6.548570624534434670e-03
1.871724935298867422e+03,2.164816012587527441e-08,3.016955722445932814e-04,1.073039432114710791e-02
1.872901380889878737e+03,3.422936045506454390e-08,2.998985314635093172e-04,9.171300860752001211e-03
1.874077826480890053e+03,3.879589403807367246e-08,2.783081404156970335e-04,5.009575231335211022e-03
1.875254272071901141e+03,6.991490735071973030e-08,6.250579128265872563e-04,8.466485686185189555e-03
1.876430717662912457e+03,5.710390432694262973e-08,5.971277929901270447e-04,5.808174455810321928e-03
1.877607163253923773e+03,3.613131880803524252e-08,3.982436357394960962e-04,1.586331114882007579e-02
1.878783608844934861e+03,3.104826670745010985e-08,4.585606935387247143e-04,1.935116553006999834e-02
1.879960054435946176e+03,9.000741300124001904e-09,1.984673722785698646e-04,1.646328964306208870e-02
1.881136500026957265e+03,2.014122439865687067e-08,3.469416044366286484e-04,3.137114968462174480e-03
1.882312945617968580e+03,2.679672579509535195e-08,3.991496489283981146e-04,2.981383476831328105e-03
1.883489391208979896e+03,4.979109497269000952e-08,2.579636814821150391e-04,9.426558659801681853e-03
1.884665836799990984e+03,4.259858348671141731e-08,1.652012290570162940e-04,1.322771965484152192e-02
1.885842282391002300e+03,5.608162520841157830e-08,3.277216440139648799e-04,1.895950425202531583e-02
1.887018727982013388e+03,1.020178595393419645e-08,4.773134783664763564e-04,1.466684375957127279e-02
1.888195173573024704e+03,1.723422092204042258e-08,3.659116557544723840e-04,1.069739544927323510e-02
1.889371619164036019e+03,1.082048302291178169e-08,4.429554252669334609e-04,5.234033426039656593e-03
1.890548064755047108e+03,3.813668918108482734e-08,8.009533445290284350e-04,1.196323173315902606e-02
1.891724510346058423e+03,6.498959134592657509e-08,8.820689550147140781e-04,4.855779483058292323e-03
1.892900955937069739e+03,8.462369264341357046e-08,6.957294805953741180e-04,1.657700908591081294e-03
1.894077401528080827e+03,4.918996178371877289e-08,1.979451643020829418e-04,4.995617919946395043e-03
1.895253847119092143e+03,7.227332502689729541e-08,4.575618036821475711e-04,1.820753701395732118e-03
1.896430292710103458e+03,3.855778362627782480e-08,7.477897339658344045e-04,6.578799615494801585e-03
1.897606738301114547e+03,3.741843677382116784e-08,4.896102973640580969e-04,4.081067033453168041e-03
1.898783183892125862e+03,4.368864432584394047e-08,1.072494456205585090e-04,3.539600349037081740e-03
1.899959629483136951e+03,9.035188997425490871e-08,7.727031862884063771e-04,2.698335895443529711e-03
1.901136075074148266e+03,1.497936277553566868e-07,1.766332432474385528e-03,1.321199069888384647e-02
1.902312520665159582e+03,1.751613095282205176e-07,2.513551105444856992e-03,2.103893719703879214e-02
1.903488966256170670e+03,2.078102250200802676e-07,2.382099272366230633e-03,2.478370456120689014e-02
1.904665411847181986e+03,1.673683140782046936e-07,1.757393001098894085e-03,2.255881730174591482e-02
1.905841857438193074e+03,8.711408300935917645e-08,1.197114140178588996e-03,1.512248877138780596e-02
1.907018303029204390e+03,2.655056297649503786e-08,7.439540377660360795e-04,6.455641489409445072e-03
1.908194748620215705e+03,2.758730656028570810e-08,5.181204473717814993e-04,4.755179010637146549e-03
1.909371194211226793e+03,5.489200076020667640e-08,5.067405637026707946e-04,7.790932261604980279e-03
1.910547639802238109e+03,6.359460999135820868e-08,3.892431816566391126e-04,5.340734635923329379e-03
1.911724085393249425e+03,7.295688852296835909e-08,5.196793313905725313e-04,5.852613165728198959e-03
1.912900530984260513e+03,5.245639500263893796e-08,5.126939259194045629e-04,6.411818301367344826e-03
1.914076976575271829e+03,7.153702694763882462e-09,2.652798770632349649e-04,1.000647534233488345e-02
1.915253422166283144e+03,2.564392078831602250e-09,1.017781642912144764e-04,1.057003243918830902e-02
1.916429867757294232e+03,4.034512273850955160e-08,5.076062369271908299e-04,4.359676802764101550e-03
1.917606313348305548e+03,4.013172434724831316e-08,5.940530362049732498e-04,5.568709282661534615e-03
1.918782758939316636e+03,3.775964373418127596e-08,6.737247914727270953e-04,2.061030454755380208e-03
1.919959204530327952e+03,4.136864739585687217e-08,6.772145648858584515e-04,4.028873338994749462e-03
1.921135650121339268e+03,5.927638978455302680e-08,8.314630227088654459e-04,9.315282813096386477e-03
1.922312095712350356e+03,8.561141205836399500e-08,9.456118185151522054e-04,1.224632650706796409e-02
1.923488541303361671e+03,4.219651591310741809e-08,3.474289704460747311e-04,8.028032013005408432e-03
1.924664986894372760e+03,5.538778124996263788e-08,5.170203604756879075e-04,1.084986518298765995e-02
1.925841432485384075e+03,5.204040547577400738e-08,5.261280936380264249e-04,1.507025479108412870e-02
1.927017878076395391e+03,2.730720518372426871e-08,1.243616652622002243e-04,1.087735450030836472e-02
1.928194323667406479e+03,2.959375721240934919e-08,5.802651616869526602e-05,7.158518838851315666e-03
1.929370769258417795e+03,5.717394475758842695e-08,2.355240124281629403e-04,3.697819984626611340e-03
1.930547214849429110e+03,3.715660424681917973e-08,1.836122703337575120e-04,3.062714458444902501e-03
1.931723660440440199e+03,5.619075467652657589e-08,3.964248918667797944e-04,4.553527627586533011e-03
1.932900106031451514e+03,4.125459471119783115e-08,1.388235894594115616e-04,7.259213995391705296e-03
1.934076551622462830e+03,4.899918529349990430e-08,4.328999985403247973e-04,8.223732643570427076e-04
1.935252997213473918e+03,2.965234350197948464e-08,1.270320341901726516e-04,5.242705336794654947e-03
1.936429442804485234e+03,4.367514199149312694e-08,4.211560774626604223e-04,3.648991500554684807e-03
1.937605888395496322e+03,5.574669642370281942e-08,5.254881345744706611e-04,8.176048325986470452e-03
